STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,5/31/2019,,,0,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/1/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/2/2019,,,0,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/3/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/4/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/5/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/6/2019,,,0.62,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/7/2019,,,0.01,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/8/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/9/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/10/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/11/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/12/2019,,,0.21,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/13/2019,,,0.05,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/14/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/15/2019,,,0.06,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/16/2019,,,0.61,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/17/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/18/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/19/2019,,,0.27,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/20/2019,,,0.02,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/21/2019,,,0,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/22/2019,,,1.37,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/23/2019,,,1.76,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/24/2019,,,1.2,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/25/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/26/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/27/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/28/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/29/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,6/30/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/1/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/2/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/3/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/4/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/5/2019,,,0.38,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/6/2019,,,0.09,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/7/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/8/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/9/2019,,,0,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/10/2019,,,0,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/11/2019,,,0.21,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/12/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/13/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/14/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/15/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/16/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/17/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/18/2019,,,0,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/19/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/20/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/21/2019,,,1.59,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/22/2019,,,0.56,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/23/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/24/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/25/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/26/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/27/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/28/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/29/2019,,,0.13,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/30/2019,,,0,,0,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,7/31/2019,,,0.02,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,8/1/2019,,,0.43,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,8/2/2019,,,0.06,,,,,,,,
US1KSJO0053,"OVERLAND PARK 3.3 S, KS US",38.86693,-94.692337,299.9,8/3/2019,,,0.05,,,,,,,,
