Delaware County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Date","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
DE-001,"Kent County",189501,30.8,36,32.9,-2.1
DE-001,"Kent County",189502,23.9,4,34.1,-10.2
DE-001,"Kent County",189503,39.5,25,42.7,-3.2
DE-001,"Kent County",189504,51.4,48,52,-0.6
DE-001,"Kent County",189505,60.9,36,62.2,-1.3
DE-001,"Kent County",189506,72.1,85,70.7,1.4
DE-001,"Kent County",189507,71.6,1,75.4,-3.8
DE-001,"Kent County",189508,75.2,86,73.5,1.7
DE-001,"Kent County",189509,70.0,106,67.2,2.8
DE-001,"Kent County",189510,50.6,1,56.1,-5.5
DE-001,"Kent County",189511,45.7,67,45.4,0.3
DE-001,"Kent County",189512,38.4,82,35.8,2.6
DE-001,"Kent County",189601,31.1,39,32.9,-1.8
DE-001,"Kent County",189602,34.9,70,34.1,0.8
DE-001,"Kent County",189603,37.1,7,42.7,-5.6
DE-001,"Kent County",189604,54.2,91,52,2.2
DE-001,"Kent County",189605,67.0,120,62.2,4.8
DE-001,"Kent County",189606,69.2,23,70.7,-1.5
DE-001,"Kent County",189607,75.4,59,75.4,0.0
DE-001,"Kent County",189608,74.2,73,73.5,0.7
DE-001,"Kent County",189609,65.9,29,67.2,-1.3
DE-001,"Kent County",189610,52.6,12,56.1,-3.5
DE-001,"Kent County",189611,49.8,111,45.4,4.4
DE-001,"Kent County",189612,33.2,27,35.8,-2.6
DE-001,"Kent County",189701,29.9,29,32.9,-3.0
DE-001,"Kent County",189702,34.6,61,34.1,0.5
DE-001,"Kent County",189703,43.6,69,42.7,0.9
DE-001,"Kent County",189704,51.4,48,52,-0.6
DE-001,"Kent County",189705,60.8,32,62.2,-1.4
DE-001,"Kent County",189706,67.4,6,70.7,-3.3
DE-001,"Kent County",189707,74.7,38,75.4,-0.7
DE-001,"Kent County",189708,72.6,36,73.5,-0.9
DE-001,"Kent County",189709,67.2,56,67.2,0.0
DE-001,"Kent County",189710,56.7,66,56.1,0.6
DE-001,"Kent County",189711,44.9,52,45.4,-0.5
DE-001,"Kent County",189712,37.0,69,35.8,1.2
DE-001,"Kent County",189801,35.1,87,32.9,2.2
DE-001,"Kent County",189802,34.4,59,34.1,0.3
DE-001,"Kent County",189803,47.0,112,42.7,4.3
DE-001,"Kent County",189804,48.9,9,52,-3.1
DE-001,"Kent County",189805,60.8,32,62.2,-1.4
DE-001,"Kent County",189806,71.3,70,70.7,0.6
DE-001,"Kent County",189807,77.0,96,75.4,1.6
DE-001,"Kent County",189808,76.0,106,73.5,2.5
DE-001,"Kent County",189809,69.6,100,67.2,2.4
DE-001,"Kent County",189810,56.6,63,56.1,0.5
DE-001,"Kent County",189811,42.4,14,45.4,-3.0
DE-001,"Kent County",189812,35.3,45,35.8,-0.5
DE-001,"Kent County",189901,31.8,49,32.9,-1.1
DE-001,"Kent County",189902,26.7,9,34.1,-7.4
DE-001,"Kent County",189903,40.3,38,42.7,-2.4
DE-001,"Kent County",189904,51.7,53,52,-0.3
DE-001,"Kent County",189905,61.9,54,62.2,-0.3
DE-001,"Kent County",189906,73.0,106,70.7,2.3
DE-001,"Kent County",189907,75.6,69,75.4,0.2
DE-001,"Kent County",189908,73.0,46,73.5,-0.5
DE-001,"Kent County",189909,65.3,18,67.2,-1.9
DE-001,"Kent County",189910,57.2,79,56.1,1.1
DE-001,"Kent County",189911,44.8,49,45.4,-0.6
DE-001,"Kent County",189912,35.9,57,35.8,0.1
DE-001,"Kent County",190001,33.6,72,32.9,0.7
DE-001,"Kent County",190002,33.2,47,34.1,-0.9
DE-001,"Kent County",190003,37.5,10,42.7,-5.2
DE-001,"Kent County",190004,51.6,51,52,-0.4
DE-001,"Kent County",190005,62.5,64,62.2,0.3
DE-001,"Kent County",190006,71.4,75,70.7,0.7
DE-001,"Kent County",190007,78.0,107,75.4,2.6
DE-001,"Kent County",190008,78.2,123,73.5,4.7
DE-001,"Kent County",190009,71.2,115,67.2,4.0
DE-001,"Kent County",190010,60.1,116,56.1,4.0
DE-001,"Kent County",190011,48.0,99,45.4,2.6
DE-001,"Kent County",190012,35.1,43,35.8,-0.7
DE-001,"Kent County",190101,32.4,55,32.9,-0.5
DE-001,"Kent County",190102,27.0,10,34.1,-7.1
DE-001,"Kent County",190103,42.9,62,42.7,0.2
DE-001,"Kent County",190104,48.7,8,52,-3.3
DE-001,"Kent County",190105,60.2,19,62.2,-2.0
DE-001,"Kent County",190106,71.1,58,70.7,0.4
DE-001,"Kent County",190107,78.8,118,75.4,3.4
DE-001,"Kent County",190108,75.4,95,73.5,1.9
